FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2006/3/24,Falcon 1,20,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin1A,167.7431292,9.0477206
2,2007/3/21,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2A,167.7431292,9.0477206
4,2008/9/28,Falcon 1,165,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2C,167.7431292,9.0477206
5,2009/7/13,Falcon 1,200,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin3C,167.7431292,9.0477206
6,2010/6/4,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0003,-80.577366,28.5618571
8,2012/5/22,Falcon 9,525,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0005,-80.577366,28.5618571
10,2013/3/1,Falcon 9,677,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0007,-80.577366,28.5618571
11,2013/9/29,Falcon 9,500,PO,VAFB SLC 4E,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1003,-120.610829,34.632093
12,2013/12/3,Falcon 9,3170,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1004,-80.577366,28.5618571
13,2014/1/6,Falcon 9,3325,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1005,-80.577366,28.5618571
14,2014/4/18,Falcon 9,2296,ISS,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1006,-80.577366,28.5618571
15,2014/7/14,Falcon 9,1316,LEO,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1007,-80.577366,28.5618571
16,2014/8/5,Falcon 9,4535,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1008,-80.577366,28.5618571
17,2014/9/7,Falcon 9,4428,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1011,-80.577366,28.5618571
18,2014/9/21,Falcon 9,2216,ISS,CCSFS SLC 40,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1010,-80.577366,28.5618571
19,2015/1/10,Falcon 9,2395,ISS,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571
20,2015/2/11,Falcon 9,570,ES-L1,CCSFS SLC 40,True Ocean,1,TRUE,FALSE,TRUE,,1,0,B1013,-80.577366,28.5618571
22,2015/4/14,Falcon 9,1898,ISS,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571
23,2015/4/27,Falcon 9,4707,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1016,-80.577366,28.5618571
24,2015/6/28,Falcon 9,2477,ISS,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571
25,2015/12/22,Falcon 9,2034,LEO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
26,2016/1/17,Falcon 9,553,PO,VAFB SLC 4E,False ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
27,2016/3/4,Falcon 9,5271,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
28,2016/4/8,Falcon 9,3136,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
29,2016/5/6,Falcon 9,4696,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
30,2016/5/27,Falcon 9,3100,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
32,2016/7/18,Falcon 9,2257,ISS,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
33,2016/8/14,Falcon 9,4600,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
34,2016/9/1,Falcon 9,5500,GTO,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
35,2017/1/14,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
36,2017/2/19,Falcon 9,2490,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
37,2017/3/16,Falcon 9,5600,GTO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1030,-80.6039558,28.6080585
38,2017/3/30,Falcon 9,5300,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
39,2017/5/1,Falcon 9,,LEO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
40,2017/5/15,Falcon 9,6070,GTO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1034,-80.6039558,28.6080585
41,2017/6/3,Falcon 9,2708,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
42,2017/6/23,Falcon 9,3669,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
43,2017/6/25,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
44,2017/7/5,Falcon 9,6761,GTO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1037,-80.6039558,28.6080585
45,2017/8/14,Falcon 9,2910,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
46,2017/8/24,Falcon 9,475,SSO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
47,2017/9/7,Falcon 9,4990,LEO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
48,2017/10/9,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
49,2017/10/11,Falcon 9,5200,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
50,2017/10/30,Falcon 9,3700,GTO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
51,2017/12/15,Falcon 9,2205,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
52,2017/12/23,Falcon 9,9600,PO,VAFB SLC 4E,True Ocean,2,TRUE,TRUE,FALSE,,3,1,B1036,-120.610829,34.632093
53,2018/1/8,Falcon 9,,LEO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
54,2018/1/31,Falcon 9,4230,GTO,CCSFS SLC 40,True Ocean,2,TRUE,TRUE,TRUE,,3,1,B1032,-80.577366,28.5618571
57,2018/3/6,Falcon 9,6092,GTO,CCSFS SLC 40,None None,1,TRUE,FALSE,TRUE,,4,0,B1044,-80.577366,28.5618571
58,2018/3/30,Falcon 9,9600,PO,VAFB SLC 4E,None None,2,TRUE,TRUE,TRUE,,4,1,B1041,-120.610829,34.632093
59,2018/4/2,Falcon 9,2760,ISS,CCSFS SLC 40,None None,2,TRUE,TRUE,TRUE,,4,1,B1039,-80.577366,28.5618571
60,2018/4/18,Falcon 9,350,HEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571
61,2018/5/11,Falcon 9,3750,GTO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585
63,2018/6/4,Falcon 9,5383.85,GTO,CCSFS SLC 40,None None,2,FALSE,TRUE,FALSE,,4,1,B1040,-80.577366,28.5618571
64,2018/6/29,Falcon 9,2410,ISS,CCSFS SLC 40,None None,2,FALSE,TRUE,FALSE,,4,1,B1045,-80.577366,28.5618571
65,2018/7/22,Falcon 9,7076,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
66,2018/7/25,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,4,B1048,-120.610829,34.632093
67,2018/8/7,Falcon 9,5800,GTO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571
68,2018/9/10,Falcon 9,7060,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
69,2018/10/8,Falcon 9,2800,SSO,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093
70,2018/11/15,Falcon 9,3000,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.6039558,28.6080585
71,2018/12/3,Falcon 9,4000,SSO,VAFB SLC 4E,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,3,B1046,-120.610829,34.632093
72,2018/12/5,Falcon 9,2573,ISS,CCSFS SLC 40,False RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,5,0,B1050,-80.577366,28.5618571
73,2018/12/23,Falcon 9,4400,MEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,5,0,B1054,-80.577366,28.5618571
74,2019/1/11,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1049,-120.610829,34.632093
76,2019/3/2,Falcon 9,12259,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
78,2019/5/4,Falcon 9,2482,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
79,2019/5/24,Falcon 9,13200,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
80,2019/6/12,Falcon 9,1425,SSO,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,12,B1051,-120.610829,34.632093
82,2019/7/25,Falcon 9,2227.7,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.577366,28.5618571
83,2019/8/6,Falcon 9,6500,GTO,CCSFS SLC 40,None None,3,FALSE,TRUE,FALSE,,5,2,B1047,-80.577366,28.5618571
84,2019/11/11,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
85,2019/12/5,Falcon 9,5000,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
86,2019/12/17,Falcon 9,6800,GTO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
87,2020/1/7,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
88,2020/1/19,Falcon 9,,SO,KSC LC 39A,None None,4,FALSE,TRUE,FALSE,,5,3,B1046,-80.6039558,28.6080585
89,2020/1/29,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
90,2020/2/17,Falcon 9,15600,VLEO,CCSFS SLC 40,False ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
91,2020/3/7,Falcon 9,1977,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
92,2020/3/18,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585
93,2020/4/22,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
94,2020/5/30,Falcon 9,9525,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1058,-80.6039558,28.6080585
95,2020/6/4,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
96,2020/6/13,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
97,2020/6/30,Falcon 9,3880,MEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
98,2020/7/20,Falcon 9,,GEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1058,-80.577366,28.5618571
100,2020/8/18,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
101,2020/8/30,Falcon 9,1600,SSO,CCSFS SLC 40,True RTLS,4,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
102,2020/9/3,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
103,2020/10/6,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1058,-80.6039558,28.6080585
104,2020/10/18,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
105,2020/10/24,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
106,2020/11/5,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,7,B1062,-80.577366,28.5618571